PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	SCHEIN, MW; CARTER, CS; DIAMOND, M								SEXUAL PERFORMANCE LEVELS OF MALE JAPANESE-QUAIL (COTURNIX-COTURNIX-JAPONICA)								ANIMAL BEHAVIOUR				20	FEB			61	&		10.1016/S0003-3472(72)80173-8			1972	1972										41							WOS:A1972N633200008		
J	DUNCAN, IJH; WOODGUSH, DG								ANALYSIS OF DISPLACEMENT PREENING IN DOMESTIC FOWL								ANIMAL BEHAVIOUR				20	FEB			68	+		10.1016/S0003-3472(72)80174-X			1972	1972										90							WOS:A1972N633200009		
J	WOODGUSH, DG								STRAIN DIFFERENCES IN RESPONSE TO SUB-OPTIMAL STIMULI IN FOWL								ANIMAL BEHAVIOUR				20	FEB			72	&		10.1016/S0003-3472(72)80175-1			1972	1972										71							WOS:A1972N633200010		
J	EVANS, RM								DEVELOPMENT OF AN AUDITORY DISCRIMINATION IN DOMESTIC CHICKS (GALLUS-GALLUS)								ANIMAL BEHAVIOUR				20	FEB			77	&		10.1016/S0003-3472(72)80176-3			1972	1972										31							WOS:A1972N633200011		
J	SALES, GD								ULTRASOUND AND AGGRESSIVE BEHAVIOR IN RATS AND OTHER SMALL MAMMALS								ANIMAL BEHAVIOUR				20	FEB			88	+		10.1016/S0003-3472(72)80177-5			1972	1972										256							WOS:A1972N633200012		
J	HAZLETT, BA								STIMULUS CHARACTERISTICS OF AN AGONISTIC DISPLAY OF HERMIT CRAB (CALCINUS-TIBICEN)								ANIMAL BEHAVIOUR				20	FEB			101	&		10.1016/S0003-3472(72)80178-7			1972	1972										19							WOS:A1972N633200013		
J	POPOVA, NK; NAUMENKO, EV								DOMINANCE RELATIONS AND PITUITARY-ADRENAL SYSTEM IN RATS								ANIMAL BEHAVIOUR				20	FEB			108	&		10.1016/S0003-3472(72)80179-9			1972	1972										40							WOS:A1972N633200014		
J	PEEK, FW								EXPERIMENTAL STUDY OF TERRITORIAL FUNCTION OF VOCAL AND VISUAL DISPLAY IN MALE RED-WINGED BLACKBIRD (AGELAIUS-PHOENICEUS)								ANIMAL BEHAVIOUR				20	FEB			112	&		10.1016/S0003-3472(72)80180-5			1972	1972										182							WOS:A1972N633200015		
J	PEEK, FW								EFFECT OF TRANQUILIZATION UPON TERRITORY MAINTENANCE IN MALE RED-WINGED BLACKBIRD (AGELAIUS-PHOENICEUS)								ANIMAL BEHAVIOUR				20	FEB			119	&		10.1016/S0003-3472(72)80181-7			1972	1972										5							WOS:A1972N633200016		
J	DASILVA, DLN; ZUCCHI, R; KERR, WE								BIOLOGICAL AND BEHAVIORAL ASPECTS OF REPRODUCTION IN SOME SPECIES OF MELIPONA (HYMENOPTERA, APIDAE, MELIPONINAE)								ANIMAL BEHAVIOUR				20	FEB			123	+					1972	1972										51							WOS:A1972N633200017		
J	ROVNER, JS								COPULATION IN LYCOSID SPIDER (LYCOSA-RABIDA-WALCKENAER) - QUANTITATIVE STUDY								ANIMAL BEHAVIOUR				20	FEB			133	&		10.1016/S0003-3472(72)80183-0			1972	1972										15							WOS:A1972N633200018		
J	WALKER, I								HABITUATION TO DISTURBANCE IN FIDDLER CRAB (UCA-ANNULIPES) IN ITS NATURAL ENVIRONMENT								ANIMAL BEHAVIOUR				20	FEB			139	&		10.1016/S0003-3472(72)80184-2			1972	1972										9							WOS:A1972N633200019		
J	KAPLAN, H; HYLAND, SO								BEHAVIORAL DEVELOPMENT IN MONGOLIAN GERBIL (MERIONES-UNGUICULATUS)								ANIMAL BEHAVIOUR				20	FEB			147	&		10.1016/S0003-3472(72)80185-4			1972	1972										29							WOS:A1972N633200020		
